levelpath,head_huc12,outlet_huc12,trib_no_intersect,headwater_error,outlet_gnis,outlet_reachcode,head_gnis,head_reachcode
720019966,150301040502,150301040502,FALSE,FALSE, ,15030104002479, ,15030104002499
720018137,150301040503,150301040503,FALSE,FALSE, ,15030104002530, ,15030104002456
720030794,150301040504,150301040504,FALSE,FALSE, ,15030104002453, ,15030104002445
720039517,150301040501,150301040501,FALSE,FALSE, ,15030104002514, ,15030104002508
720034447,150301040705,150301040705,FALSE,FALSE,9355,15030104000242,9355,15030104000239
720018128,150301041105,150301041105,FALSE,FALSE,7376,15030104002846, ,15030104002824
720039471,150301041208,150301041208,FALSE,FALSE,251493,15030104003565,251493,15030104003554
720034418,150301041208,150301041208,FALSE,FALSE,245495,15030104000282,245495,15030104000280
720030762,150301041208,150301041208,FALSE,FALSE,244937,15030104000279,244937,15030104000275
720039462,150301041203,150301041203,FALSE,FALSE,250712,15030104000285,250712,15030104000283
720023920,150301020101,150301020102,FALSE,FALSE, ,15030102000172, ,15030102000162
720017357,150301020103,150301020106,FALSE,FALSE, ,15030102000035, ,15030102000023
720039434,150301020105,150301020105,FALSE,FALSE, ,15030102000175, ,15030102000173
720046927,150301020104,150301020104,FALSE,FALSE, ,15030102000153, ,15030102000150
720022577,150301020107,150301020107,FALSE,FALSE, ,15030102000191, ,15030102000177
720009487,150301020108,150301020308,FALSE,FALSE,254155,15030102000022,254155,15030102000356
720031125,150301020110,150301020110,FALSE,FALSE, ,15030102000373, ,15030102000192
720023919,150301020111,150301020112,FALSE,FALSE, ,15030102000203, ,15030102000193
720027958,150301020202,150301020202,FALSE,FALSE, ,15030102000241, ,15030102000060
720046937,150301020201,150301020201,FALSE,FALSE, ,15030102000237, ,15030102000234
720010188,150301020203,150301020209,FALSE,FALSE, ,15030102000075, ,15030102000038
720034403,150301020204,150301020204,FALSE,FALSE, ,15030102000080, ,15030102000076
720034395,150301020306,150301020306,FALSE,FALSE,1667054,15030102000297,1667054,15030102000288
200073072,020802080303,020802080303,FALSE,FALSE,1478266,02080208000555,1478266,02080208000555
200004298,020802080303,020802080303,FALSE,FALSE,1478857,02080208000490,1478857,02080208000490
200004297,020802080303,020802080303,FALSE,FALSE,1479091,02080208000491,1479091,02080208000491
200004444,020802010101,020802080304,FALSE,FALSE,1484390,02080201000212,1488853,02080208000557
200030070,020802010201,020802010204,FALSE,FALSE,1481374,02080201000222, ,02080201009834
200062813,020802010203,020802010203,FALSE,FALSE,1484866,02080201000223,1484866,02080201000223
200015013,020802010301,020802010304,FALSE,FALSE, ,02080201001841,1483176,02080201002453
200024963,020802010303,020802010303,FALSE,FALSE,1485951,02080201000242,1485951,02080201000228
200010208,020802010401,020802010405,FALSE,FALSE,1552338,02080201000350, ,02080201000269
200025784,020802010501,020802010501,FALSE,FALSE,1482359,02080201001643,1482396,02080201000624
200043578,020802010505,020802010505,FALSE,FALSE,1484522,02080201000698, ,02080201000694
200022296,020802010506,020802010506,FALSE,FALSE,1488417,02080201000135,1488417,02080201000122
200011667,020802010601,020802010803,FALSE,FALSE,1482763,02080201000107,1482763,02080201000044
200033139,020802010604,020802010605,FALSE,FALSE,1482164,02080201000116,1482164,02080201000108
200077304,020802010702,020802010702,FALSE,FALSE,1483144,02080201000117,1483144,02080201000117
200035030,020802010704,020802010704,FALSE,FALSE,1487671,02080201000095, ,02080201000090
200023532,020802010802,020802010802,FALSE,FALSE,1486032,02080201000759,1486032,02080201000741
200035028,020802010902,020802010902,FALSE,FALSE,1487260,02080201002276,1487260,02080201002258
200030063,020802010903,020802010903,FALSE,FALSE,1487327,02080201000035,1487060,02080201000026
200008776,020802011001,020802011203,FALSE,FALSE,1482803,02080201000529,1482803,02080201000353
200037280,020802011002,020802011002,FALSE,FALSE,1485335,02080201000898, ,02080201000712
200013019,020802011101,020802011102,FALSE,FALSE,1484468,02080201000467,1484468,02080201000418
200027675,020802011202,020802011202,FALSE,FALSE,1481453,02080201000404,1481453,02080201000391
200008691,020802011204,020802011205,FALSE,FALSE,1486085,02080201001475,1486085,02080201000351
200007339,020802011301,020802011302,FALSE,FALSE,1482377,02080201000573,1482377,02080201000530
200022295,020802011403,020802011403,FALSE,FALSE,1485426,02080201001012,1485084,02080201000574
200025780,020802011502,020802011502,FALSE,FALSE,1484413,02080201000959,1484413,02080201000948
200037293,020802011504,020802011504,FALSE,FALSE,1482397,02080201000006,1482397,02080201000002
200009626,020802020101,020802020506,FALSE,FALSE,1482221,02080202000476,1485231,02080202000704
200103649,020802020102,020802020102,FALSE,FALSE, ,02080202000173, ,02080202000173
200076938,020802020104,020802020104,FALSE,FALSE, ,02080202000480,1483912,02080202000273
200028797,020802020106,020802020106,FALSE,FALSE,1485429,02080202000701,1485429,02080202000174
200023522,020802020107,020802020107,FALSE,FALSE,1481973,02080202000250,1481973,02080202000179
200022880,020802020201,020802020202,FALSE,FALSE,1484877,02080202000152,1484877,02080202000143
200024954,020802020205,020802020205,FALSE,FALSE,1486015,02080202000127,1483993,02080202000115
200031482,020802020204,020802020204,FALSE,FALSE,1488158,02080202000136,1488158,02080202000128
200028796,020802020302,020802020302,FALSE,FALSE,1484566,02080202000207,1484566,02080202000196
200031484,020802020401,020802020401,FALSE,FALSE,1486874,02080202000077,1486874,02080202000068
